Alfa Romeo;Giulia;hall met. (Silverstone Grey);tagavedu;automaat (8-käiguline);08/2019;diisel;2.1 R4 (132 kW);5000 km;48 777 EUR;34 900 EUR;https://www.auto24.ee/used/3349959
Alfa Romeo;Stelvio;must met. (Vulcano Black);nelikvedu;automaat (8-käiguline);02/2020;diisel;2.1 R4 (154 kW);3000 km;54 542 EUR;40 900 EUR;https://www.auto24.ee/used/3349962
Alfa Romeo;Stelvio;punane met. (Rosso Competizione);nelikvedu;automaat;06/2019;bensiin;2.9 V6 (375 kW);7000 km ·;109 627 EUR;76 900 EUR;https://www.auto24.ee/used/3349971
Alpina;B3;hõbedane met.;tagavedu;automaat (ALPINA SWITCH-TRONIC);11/2000;bensiin;3.3 (206 kW);232 000 km ·;8900 EUR;;https://www.auto24.ee/used/3358177
Alpina;D3;must met. (Black Sapphire Metallic);tagavedu;manuaal;07/2006;diisel;2.0 (147 kW);179 400 km ·;;8900 EUR;https://www.auto24.ee/used/3358700
Alpina;B3;must met.;tagavedu;automaat;12/2012;bensiin;2.9 Bi-Turbo (301 kW);227 000 km ·;22 900 EUR;19 990 EUR;https://www.auto24.ee/used/3290149
Alpina;D5;valge met. (Alpinweiss 3);tagavedu;automaat (Switchtronic);08/2012;diisel;3.0 (257 kW);188 900 km ·;22 000 EUR;;https://www.auto24.ee/used/3282355
Alpina;D3;must met. (BLACK SAPPHIRE METALLIC (475));tagavedu;automaat (Sport Automatic);04/2015;diisel;3.0 N57T R6 (257 kW);152 000 km ·;34 490 EUR;30 750 EUR;https://www.auto24.ee/used/3339323
Alpina;B7;valge met.;nelikvedu;automaat;03/2017;bensiin;4.4 (447 kW);15 000 km ·;124 900 EUR;;https://www.auto24.ee/used/3317789
Aston Martin;DB9;sinine;tagavedu;automaat;08/2007;bensiin;6.0 V12 (336 kW);32 781 km;42 000 EUR;;https://www.auto24.ee/used/3296492
Aston Martin;DB9;valge met.;tagavedu;automaat;06/2010;bensiin;5.9 V12 (350 kW);59 500 km ·;74 800 EUR;;https://www.auto24.ee/used/3240607
Audi;A6;tumehall met.;esivedu;;12/2003;diisel;2.5 TDI (120 kW);352 000 km;125 EUR;Oksjon;https://www.auto24.ee/used/3361128
Audi;80;punane;esivedu;manuaal;1990;diisel;1.9 (50 kW);;;300 EUR;https://www.auto24.ee/used/3356471
Audi;A6;hõbedane;esivedu;automaat;11/2002;bensiin;2.4 (125 kW);331 000 km;399 EUR;;https://www.auto24.ee/used/3360134
Audi;80;roheline;;manuaal;1992;bensiin;2.0 (66 kW);;500 EUR;400 EUR;https://www.auto24.ee/used/3361027
Audi;A4;punane;esivedu;manuaal;11/1994;bensiin;1.8 (92 kW);355 000 km;500 EUR;400 EUR;https://www.auto24.ee/used/3296796
Audi;A4;tumeroheline;esivedu;manuaal;1995;;1.6 (74 kW);345 000 km;800 EUR;450 EUR;https://www.auto24.ee/used/3335513
