BMW;316;sinine (Tumesinine metallik);tagavedu;manuaal;11/2001;bensiin;1.8 R4 (85 kW);177 000 km;210 EUR;Oksjon;https://www.auto24.ee/used/3075541
BMW;520;must;tagavedu;manuaal;12/1997;bensiin;2.0 R6 (110 kW);331 000 km;300 EUR;;https://www.auto24.ee/used/3076422
BMW;525;tumesinine;tagavedu;automaat;10/2001;diisel;2.5 (120 kW);;350 EUR;Oksjon;https://www.auto24.ee/used/3079855
BMW;525;must;tagavedu;manuaal;11/1997;diisel;2.5 (105 kW);;450 EUR;400 EUR;https://www.auto24.ee/used/3052902
BMW;730;must;tagavedu;automaat;03/2004;diisel;3.0 (160 kW);240 000 km;400 EUR;Oksjon;https://www.auto24.ee/used/3081406
BMW;520;valge;tagavedu;manuaal;1990;bensiin;2.0 R6 (110 kW);250 000 km;700 EUR;500 EUR;https://www.auto24.ee/used/3068088
BMW;525;tumesinine;tagavedu;manuaal;07/1997;diisel;2.5 (105 kW);;650 EUR;;https://www.auto24.ee/used/3079845
BMW;525;must met.;tagavedu;manuaal;03/1999;diisel;2.5 TDS (105 kW);256 000 km;1100 EUR;690 EUR;https://www.auto24.ee/used/3052336
BMW;730;valge;;automaat;1987;bensiin;3.0 (138 kW);;900 EUR;699 EUR;https://www.auto24.ee/used/3053985
BMW;320;tumesinine;tagavedu;manuaal;06/1994;bensiin;2.0 R6 (110 kW);287 000 km;900 EUR;700 EUR;https://www.auto24.ee/used/3069589
BMW;320;must;tagavedu;;07/1992;bensiin;2.0 R6 (110 kW);;700 EUR;;https://www.auto24.ee/used/3069508
BMW;325;hõbedane met.;tagavedu;automaat;05/1996;diisel;2.5 tds (105 kW);;800 EUR;700 EUR;https://www.auto24.ee/used/3080842
BMW;725;hõbedane met.;tagavedu;automaat;11/1997;diisel;2.5 R6 2.5 TDS M51 (105 kW);370 000 km;700 EUR;;https://www.auto24.ee/used/3069705
BMW;318;hall;tagavedu;manuaal;09/1999;bensiin;1.9 (87 kW);258 126 km;790 EUR;;https://www.auto24.ee/used/2981663
BMW;318;helesinine;tagavedu;manuaal;06/1998;bensiin;1.9 (87 kW);223 000 km;800 EUR;;https://www.auto24.ee/used/3078064
BMW;520;must;tagavedu;manuaal;09/1996;bensiin;2.0 (110 kW);400 000 km;1150 EUR;850 EUR;https://www.auto24.ee/used/3027563
BMW;316;sinine;tagavedu;manuaal;02/2001;bensiin;1.9 (77 kW);315 000 km;1300 EUR;890 EUR;https://www.auto24.ee/used/3054632
BMW;318;hall;tagavedu;manuaal;11/1999;diisel;1.7 tds (66 kW);244 000 km;899 EUR;;https://www.auto24.ee/used/3061082
BMW;528;tumehall met.;tagavedu;automaat ( Tiptronic);12/1996;bensiin;2.8 (142 kW);350 000 km;2000 EUR;899 EUR;https://www.auto24.ee/used/3056252
