AC;Cobra;punane;tagavedu;manuaal;01/1984;bensiin;7.0 427;14 900 km;86 990 EUR;;https://www.auto24.ee/used/2762298
Acura;MDX;hall met.;nelikvedu;automaat;11/2014;bensiin;3.5 (216 kW);175 000 km ·;22 900 EUR;;https://www.auto24.ee/used/3358484
Alfa Romeo;156 Sportwagon;;esivedu;automaat;05/2004;bensiin;2.0 (122 kW);;499 EUR;;https://www.auto24.ee/used/3396043
Alfa Romeo;156;tumehall met.;esivedu;automaat;01/2003;bensiin;2.5 (141 kW);248 000 km;610 EUR;Oksjon;https://www.auto24.ee/used/3393854
Alfa Romeo;156 Sportwagon;tumesinine;esivedu;manuaal;11/2001;diisel;2.4 (100 kW);315 000 km ·;1200 EUR;;https://www.auto24.ee/used/3385834
Alfa Romeo;156;punane;esivedu;poolautomaat;07/2003;bensiin;2.0 (122 kW);143 157 km;2000 EUR;1300 EUR;https://www.auto24.ee/used/2328628
Alfa Romeo;147;must met.;esivedu;automaat (Selespeed);06/2005;bensiin;2.0 Twin Cam (110 kW);166 000 km ·;1400 EUR;;https://www.auto24.ee/used/3385859
Alfa Romeo;147;must;esivedu;manuaal;05/2008;bensiin;1.6 R4 (77 kW);155 000 km;2590 EUR;1990 EUR;https://www.auto24.ee/used/3370250
Alfa Romeo;GT;must met.;esivedu;manuaal (6- käiku);09/2006;diisel;1.9 (110 kW);335 000 km;2500 EUR;1990 EUR;https://www.auto24.ee/used/3395160
Alfa Romeo;159;must;esivedu;automaat;10/2006;diisel;1.9 R4 16V JTD (136 kW);300 000 km;2400 EUR;2000 EUR;https://www.auto24.ee/used/3377258
Alfa Romeo;156 Sportwagon;hõbedane;esivedu;manuaal;05/2005;diisel;1.9 (110 kW);165 050 km;3000 EUR;2050 EUR;https://www.auto24.ee/used/3380085
Alfa Romeo;147;sinine met.;esivedu;poolautomaat;03/2004;bensiin;2.0 (110 kW);108 000 km;2099 EUR;;https://www.auto24.ee/used/2494929
Alfa Romeo;156 Sportwagon;tumehall met.;esivedu;manuaal;2005;diisel;2.4 JTd (129 kW);226 000 km ·;;2200 EUR;https://www.auto24.ee/used/3265978
Alfa Romeo;156 Crosswagon;tumeroheline met.;nelikvedu;manuaal;05/2005;diisel;1.9 JTD 16V (110 kW);256 100 km;3500 EUR;2499 EUR;https://www.auto24.ee/used/3382906
Alfa Romeo;156 Crosswagon;pruun;nelikvedu;manuaal;10/2005;diisel;1.9 JTD 16V (110 kW);259 114 km;2600 EUR;;https://www.auto24.ee/used/3327598
Alfa Romeo;159;helehall met.;esivedu;manuaal;12/2007;diisel;1.9 (110 kW);166 400 km ·;3300 EUR;3100 EUR;https://www.auto24.ee/used/2283823
Alfa Romeo;MiTo;tumepunane met.;esivedu;manuaal (6 käiku);09/2010;diisel;1.3 CRDI (66 kW);159 000 km ·;3999 EUR;3499 EUR;https://www.auto24.ee/used/3388712
Alfa Romeo;156 Crosswagon;sinine met.;nelikvedu;manuaal;09/2005;diisel;1.9 (110 kW);208 000 km;3600 EUR;;https://www.auto24.ee/used/3326559
Alfa Romeo;159;sinine;esivedu;manuaal;01/2009;diisel;1.9 (110 kW);180 000 km;4700 EUR;3600 EUR;https://www.auto24.ee/used/3225165
Alfa Romeo;159;tumehall met.;esivedu;manuaal (6 käiku);2006;bensiin;2.2 i 16V Twin Phaser (136 kW);225 000 km ·;;3600 EUR;https://www.auto24.ee/used/3376294
Alfa Romeo;145;punane;esivedu;manuaal;1997;bensiin;2.0 i Twin Spark (114 kW);114 000 km ·;3800 EUR;;https://www.auto24.ee/used/3391866
Alfa Romeo;159;hall met.;esivedu;manuaal;11/2007;bensiin;2.2 JTS (136 kW);164 000 km ·;4900 EUR;3900 EUR;https://www.auto24.ee/used/3329341
Alfa Romeo;159;must;esivedu;automaat;06/2009;diisel;2.4 JTD (147 kW);247 000 km ·;;4000 EUR;https://www.auto24.ee/used/3392798
Alfa Romeo;Spider;hall met.;esivedu;manuaal;1997;bensiin;2.0 16V (110 kW);89 000 km;4250 EUR;;https://www.auto24.ee/used/3388507
Alfa Romeo;159;hall met.;esivedu;manuaal;06/2008;diisel;1.9 (88 kW);106 195 km ·;5100 EUR;4490 EUR;https://www.auto24.ee/used/3123714
Alfa Romeo;166;must met. (Graphite black 18L);esivedu;manuaal;04/1999;bensiin;2.0 TS (114 kW);267 000 km ·;6000 EUR;4500 EUR;https://www.auto24.ee/used/3382436
