BMW;523;helebeež;tagavedu;manuaal;08/1999;bensiin;2.5 R6 (125 kW);343 073 km;1400 EUR;;https://www.auto24.ee/used/3047140
BMW;520;must met.;tagavedu;manuaal;03/2001;bensiin;2.2 (125 kW);;2000 EUR;1449 EUR;https://www.auto24.ee/used/3050775
BMW;318;hõbedane;tagavedu;automaat;08/2003;bensiin;2.0 (105 kW);205 000 km;2499 EUR;1499 EUR;https://www.auto24.ee/used/3060293
BMW;525;sinine;tagavedu;automaat (5);04/2001;diisel;2.5 R6 (120 kW);290 000 km;2000 EUR;1499 EUR;https://www.auto24.ee/used/3045545
BMW;525;tumeroheline met.;tagavedu;manuaal;08/1999;diisel;2.5 (105 kW);267 700 km;1499 EUR;;https://www.auto24.ee/used/3063345
BMW;316;must;tagavedu;manuaal;02/2003;bensiin;1.8 (85 kW);239 748 km;2100 EUR;1500 EUR;https://www.auto24.ee/used/3050916
BMW;316;must (must);tagavedu;manuaal;05/1999;bensiin;1.9 (77 kW);340 302 km;1500 EUR;;https://www.auto24.ee/used/3050059
BMW;316;sinine;tagavedu;manuaal;11/2001;bensiin;1.8 (85 kW);177 000 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3039840
BMW;318;tumesinine;tagavedu;manuaal;04/1993;bensiin;1.8 (83 kW);;1500 EUR;;https://www.auto24.ee/used/3054257
BMW;320;hall;tagavedu;automaat;03/2005;diisel;2.0 (110 kW);427 000 km;1500 EUR;;https://www.auto24.ee/used/3050170
BMW;330;tumehall;tagavedu;automaat;04/2001;diisel;2.9 (135 kW);356 000 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3060297
BMW;520;tumehall;tagavedu;manuaal;12/2000;bensiin;2.2 (125 kW);276 000 km;1500 EUR;;https://www.auto24.ee/used/3063819
BMW;523;hõbedane met.;tagavedu;automaat;05/1999;bensiin;(125 kW);;1900 EUR;1500 EUR;https://www.auto24.ee/used/3025318
BMW;530;tumesinine;tagavedu;automaat;12/1998;diisel;2.9 (135 kW);;1500 EUR;;https://www.auto24.ee/used/3048093
BMW;318;must met. (must );tagavedu;manuaal;09/1998;bensiin;1.9 R4 (87 kW);279 000 km;1560 EUR;;https://www.auto24.ee/used/3045086
BMW;530;hall met.;tagavedu;automaat;07/2000;diisel;3.0 D (135 kW);341 000 km;1599 EUR;;https://www.auto24.ee/used/3063273
BMW;316;hõbedane;tagavedu;manuaal;11/2002;bensiin;1.8 (85 kW);195 000 km;1600 EUR;;https://www.auto24.ee/used/2595728
BMW;330;hõbedane;nelikvedu;automaat (tiptronic);09/2002;diisel;3.0 TDI (135 kW);;1900 EUR;1600 EUR;https://www.auto24.ee/used/3063170
BMW;340;beež;;;1952;bensiin;2.0 (41 kW);;2000 EUR;1600 EUR;https://www.auto24.ee/used/2853718
BMW;725;hõbedane;tagavedu;automaat;05/1996;diisel;2.5 R6 (105 kW);368 785 km;1700 EUR;1600 EUR;https://www.auto24.ee/used/3035266
BMW;320;tumepunane;tagavedu;manuaal;10/1995;bensiin;2.0 (110 kW);327 000 km;1650 EUR;1649 EUR;https://www.auto24.ee/used/3061763
BMW;530;must;tagavedu;automaat;03/2003;bensiin;3.0 (170 kW);257 000 km ·;1650 EUR;;https://www.auto24.ee/used/3059887
BMW;316;tumesinine;tagavedu;manuaal;04/2002;bensiin;1.8 (85 kW);216 000 km;1799 EUR;1699 EUR;https://www.auto24.ee/used/3042943
BMW;320;helehall;tagavedu;manuaal;12/2001;diisel;2.0 Tdi (110 kW);472 000 km;2200 EUR;1700 EUR;https://www.auto24.ee/used/3061703
BMW;323;hõbedane;tagavedu;manuaal;08/1998;bensiin;2.5 R6 (125 kW);;2000 EUR;1700 EUR;https://www.auto24.ee/used/2945742
BMW;523;hõbedane met.;tagavedu;manuaal;07/2000;bensiin;2.5 R6 (125 kW);362 000 km;2500 EUR;1700 EUR;https://www.auto24.ee/used/2658949
BMW;528;hall;tagavedu;manuaal;05/1998;bensiin;2.8 (142 kW);232 000 km;2000 EUR;1700 EUR;https://www.auto24.ee/used/2969320
BMW;530;roheline;tagavedu;automaat;05/2002;diisel;2.9 m57 (142 kW);350 000 km;1999 EUR;1700 EUR;https://www.auto24.ee/used/3057624
BMW;316;hall met.;tagavedu;manuaal;01/2000;bensiin;1.9 (77 kW);218 000 km;2000 EUR;1750 EUR;https://www.auto24.ee/used/3054252
BMW;320;must met.;tagavedu;manuaal;12/2001;diisel;2.0 (110 kW);;2200 EUR;1799 EUR;https://www.auto24.ee/used/3056086
BMW;316;hõbedane met.;tagavedu;automaat;10/1998;bensiin;1.6 (75 kW);256 000 km ·;1800 EUR;;https://www.auto24.ee/used/2200863
BMW;318;tumepunane;tagavedu;;1994;bensiin;1.8 (103 kW);;2000 EUR;1800 EUR;https://www.auto24.ee/used/3050681
BMW;320;hõbedane met.;tagavedu;manuaal;09/2001;diisel;2.0 (110 kW);298 000 km;1990 EUR;1800 EUR;https://www.auto24.ee/used/1394817
BMW;518;roheline;tagavedu;manuaal;1986;bensiin;1.8 R4 (77 kW);350 000 km;2000 EUR;1800 EUR;https://www.auto24.ee/used/3058177
BMW;528;tumepunane met.;tagavedu;manuaal;02/1996;bensiin;2.8 (142 kW);360 000 km;3000 EUR;1800 EUR;https://www.auto24.ee/used/3027430
BMW;530;sinine met.;tagavedu;automaat;08/2001;diisel;2.9 (142 kW);;2500 EUR;1800 EUR;https://www.auto24.ee/used/3041186
BMW;530;hõbedane met.;tagavedu;manuaal;06/2002;diisel;2.9 m57 (142 kW);;1990 EUR;1800 EUR;https://www.auto24.ee/used/3062408
BMW;728;hall;tagavedu;automaat;03/1996;bensiin + gaas (LPG/vedelgaas);2.8 (142 kW);;2000 EUR;1800 EUR;https://www.auto24.ee/used/3063979
BMW;328;hõbedane;tagavedu;manuaal;01/1999;bensiin;2.8 (142 kW);296 000 km;2100 EUR;1850 EUR;https://www.auto24.ee/used/3048037
BMW;316;must met.;tagavedu;manuaal;10/1997;bensiin;1.6 (75 kW);195 000 km;1900 EUR;;https://www.auto24.ee/used/2987012
BMW;318;hõbedane met.;tagavedu;automaat;02/2003;bensiin;2.0 (105 kW);203 327 km;1900 EUR;;https://www.auto24.ee/used/2874837
BMW;320;punane;tagavedu;manuaal;07/1992;bensiin;2.0 (110 kW);;1900 EUR;;https://www.auto24.ee/used/3056457
BMW;525;hall met.;tagavedu;manuaal;10/1997;diisel;2.5 TDS (105 kW);336 000 km;1900 EUR;;https://www.auto24.ee/used/2557887
BMW;530;must;tagavedu;automaat;12/2001;diisel;2.9 (142 kW);360 000 km;1900 EUR;;https://www.auto24.ee/used/3064222
BMW;530;hõbedane met. (TITANSILBER MET.);tagavedu;automaat;01/2001;diisel;3.0 D (142 kW);379 000 km ·;2190 EUR;1900 EUR;https://www.auto24.ee/used/3054644
BMW;530;hõbedane met.;tagavedu;automaat;11/1999;diisel;3.0 R6 (135 kW);;2400 EUR;1950 EUR;https://www.auto24.ee/used/3063220
BMW;520;sinine met.;tagavedu;manuaal;10/1997;bensiin;2.0 i (110 kW);243 000 km ·;1990 EUR;;https://www.auto24.ee/used/3059294
BMW;316;helehall;tagavedu;automaat;05/2002;bensiin;1.8 (85 kW);237 833 km ·;2499 EUR;1999 EUR;https://www.auto24.ee/used/3053912
BMW;520;tumeroheline met.;tagavedu;manuaal;03/1990;bensiin;2.0 (95 kW);;;1999 EUR;https://www.auto24.ee/used/3050008
