Audi;A4;must;esivedu;automaat;06/1997;diisel;1.9 R4 (81 kW);303 000 km;1300 EUR;999 EUR;https://www.auto24.ee/used/3401506,
Audi;A6;hall met.;esivedu;manuaal;07/1996;bensiin;2.6 (110 kW);189 000 km;1500 EUR;999 EUR;https://www.auto24.ee/used/3355421,
Audi;A6;hõbedane met.;esivedu;manuaal;12/2000;bensiin;2.4 v6 (121 kW);270 000 km ·;1499 EUR;999 EUR;https://www.auto24.ee/used/3398247,
Audi;A6;tumesinine;esivedu;manuaal;05/2000;bensiin;2.4 (121 kW);267 000 km;1499 EUR;999 EUR;https://www.auto24.ee/used/3403874,
Audi;100;punane;esivedu;manuaal;1988;diisel;2.0 R5 (64 kW);353 000 km;1000 EUR;;https://www.auto24.ee/used/3406396,
Audi;A3;hõbedane (Hõbe);esivedu;manuaal;03/2000;bensiin;1.6 8L (74 kW);271 000 km;1200 EUR;1000 EUR;https://www.auto24.ee/used/3370291,
Audi;A4;tumesinine;esivedu;manuaal;02/1998;bensiin;1.8 (92 kW);318 000 km;1000 EUR;;https://www.auto24.ee/used/3403237,
Audi;A4;sinine;esivedu;manuaal;;bensiin;2.4 v6 (125 kW);277 000 km;1500 EUR;1000 EUR;https://www.auto24.ee/used/1732029,
Audi;A6;tumesinine (tumesinine);nelikvedu;automaat;04/2000;diisel;2.5 TDI (132 kW);448 202 km;1000 EUR;;https://www.auto24.ee/used/3398855,
Audi;A6;;esivedu;automaat;09/2001;diisel;2.5 (132 kW);280 000 km;1599 EUR;1099 EUR;https://www.auto24.ee/used/3403254,
Audi;A6;must;esivedu;manuaal;06/1997;bensiin;1.8 T (110 kW);321 000 km;1100 EUR;;https://www.auto24.ee/used/3391817,
Audi;80;punane;esivedu;manuaal;1991;diisel;1.9 (50 kW);265 000 km;1500 EUR;1150 EUR;https://www.auto24.ee/used/3379008,
Audi;A4;must;nelikvedu;automaat (Tiptronic);02/1998;bensiin;2.8 V6 (142 kW);212 500 km;1299 EUR;1150 EUR;https://www.auto24.ee/used/3389591,
Audi;A2;hõbedane;esivedu;manuaal;09/2000;bensiin;1.4 (55 kW);225 000 km;1199 EUR;;https://www.auto24.ee/used/3401429,
Audi;A4;tumesinine;esivedu;manuaal;12/1999;diisel;2.5 TDI (110 kW);215 735 km ·;1700 EUR;1200 EUR;https://www.auto24.ee/used/2512051,
Audi;A6;helebeež met.;esivedu;manuaal;02/1998;diisel;1.9 TDI (81 kW);360 000 km;1400 EUR;1200 EUR;https://www.auto24.ee/used/3402588,
Audi;A6;hall;esivedu;manuaal;01/2001;bensiin;2.4 V6 (121 kW);220 000 km;1500 EUR;1200 EUR;https://www.auto24.ee/used/3402270,
Audi;A8;hall met.;esivedu;automaat;08/2000;bensiin;2.8 (142 kW);;1400 EUR;1200 EUR;https://www.auto24.ee/used/3404081,
Audi;100;valge;esivedu;;1984;bensiin;1.8 (66 kW);415 000 km;1250 EUR;;https://www.auto24.ee/used/3393492,
Audi;A3;punane met.;esivedu;manuaal (6);07/2003;diisel;2.0 (103 kW);370 000 km;2300 EUR;1250 EUR;https://www.auto24.ee/used/3400024,
Audi;A6;tumesinine;nelikvedu;manuaal;01/1999;bensiin;2.8 (142 kW);325 000 km;1599 EUR;1299 EUR;https://www.auto24.ee/used/3334007,
Audi;A2;hõbedane;esivedu;manuaal;11/2001;bensiin;1.4 (55 kW);;1600 EUR;1300 EUR;https://www.auto24.ee/used/3356608,
Audi;A3;must;esivedu;manuaal;08/2000;diisel;1.9 R4 (66 kW);306 000 km;1600 EUR;1300 EUR;https://www.auto24.ee/used/3405457,
Audi;A4;must;esivedu;manuaal;12/2001;diisel;1.9 TDI (85 kW);277 000 km;;1300 EUR;https://www.auto24.ee/used/3396092,
Audi;A6;helesinine;nelikvedu;;05/2000;bensiin;2.8 (142 kW);260 000 km;1500 EUR;1300 EUR;https://www.auto24.ee/used/3402215,
Audi;A6;tumeroheline;nelikvedu;automaat;1996;bensiin;2.8 V6 (128 kW);467 000 km;1600 EUR;1350 EUR;https://www.auto24.ee/used/3360838,
Audi;A6;must met.;esivedu;manuaal;03/2000;bensiin;2.4 (121 kW);366 555 km ·;1800 EUR;1360 EUR;https://www.auto24.ee/used/3403297,
Audi;A4;hõbedane met.;esivedu;manuaal;05/1995;bensiin;1.6 (74 kW);203 000 km ·;1390 EUR;;https://www.auto24.ee/used/3402121,
