AC;Cobra;punane;tagavedu;manuaal;01/1984;bensiin;7.0 427;14 900 km;90 900 EUR;;https://www.auto24.ee/used/2762298
Alfa Romeo;156 Sportwagon;punane;esivedu;manuaal;06/2002;bensiin;2.0 (110 kW);204 372 km;1499 EUR;999 EUR;https://www.auto24.ee/used/3048157
Alfa Romeo;GT;must met.;esivedu;manuaal;12/2004;diisel;1.9 JTD (110 kW);234 000 km;1999 EUR;;https://www.auto24.ee/used/3060233
Alfa Romeo;159;tumepunane met.;esivedu;manuaal;05/2006;bensiin;2.2 (136 kW);157 000 km;2199 EUR;;https://www.auto24.ee/used/3023111
Alfa Romeo;147;must met.;esivedu;manuaal;2006;diisel;1.9;;;2500 EUR;https://www.auto24.ee/used/2962416
Alfa Romeo;156 Sportwagon;hall met.;esivedu;manuaal;06/2005;diisel;2.4 JTd (129 kW);225 000 km;;2500 EUR;https://www.auto24.ee/used/3048409
Alfa Romeo;156 Sportwagon;must;esivedu;manuaal;01/2001;bensiin;2.5 V6 (140 kW);132 000 km;2800 EUR;2500 EUR;https://www.auto24.ee/used/1601133
Alfa Romeo;166;;esivedu;manuaal;09/2003;bensiin;2.0 16V (114 kW);257 000 km;2600 EUR;;https://www.auto24.ee/used/3062450
Alfa Romeo;GTV;punane;esivedu;manuaal;07/2003;bensiin;2.0 i 16V (110 kW);199 900 km ·;;2600 EUR;https://www.auto24.ee/used/2668567
Alfa Romeo;159;punane met.;esivedu;manuaal;04/2006;bensiin;2.2 JTS (136 kW);274 000 km ·;3000 EUR;2800 EUR;https://www.auto24.ee/used/2937737
Alfa Romeo;147;sinine met.;esivedu;automaat (selespeed);01/2011;bensiin;2.0 (110 kW);52 000 km ·;2900 EUR;;https://www.auto24.ee/used/3044148
Alfa Romeo;GT;tumehall met.;esivedu;automaat;07/2006;bensiin;2.0 JTS (122 kW);193 000 km ·;3500 EUR;2999 EUR;https://www.auto24.ee/used/3062538
Alfa Romeo;159;tumesinine met.;esivedu;manuaal;05/2006;diisel;2.4 (147 kW);;4300 EUR;3000 EUR;https://www.auto24.ee/used/2943465
Alfa Romeo;159;kuldne;esivedu;automaat;05/2008;bensiin;2.2 (136 kW);209 696 km;3999 EUR;3799 EUR;https://www.auto24.ee/used/2872002
Alfa Romeo;159;sinine met.;esivedu;manuaal;01/2009;diisel;1.9 JTDm (110 kW);160 700 km;4900 EUR;;https://www.auto24.ee/used/2997900
