Alfa Romeo;Giulietta;valge (Elevandiluu);esivedu;manuaal;04/2012;bensiin;1.7 (173 kW);75 000 km;11 000 EUR;8900 EUR;https://www.auto24.ee/used/3158270
Alfa Romeo;Giulietta;hõbedane met. (Bianco Lunare);esivedu;manuaal;01/2015;diisel;2.0 JTD (110 kW);208 500 km ·;10 500 EUR;9800 EUR;https://www.auto24.ee/used/3256486
Alfa Romeo;Giulietta;hall met. (Moonlight pearl);esivedu;;05/2015;bensiin;1.7 (177 kW);83 000 km ·;15 500 EUR;;https://www.auto24.ee/used/3338840
Alfa Romeo;Giulia;sinine met. (Montecarlo Blue Metallic);tagavedu;automaat (8 käiguline);12/2017;diisel;2.2 (110 kW);28 320 km;25 700 EUR;;https://www.auto24.ee/used/3193336
Alfa Romeo;Giulia;punane;tagavedu;automaat;08/2017;bensiin;2.0 Turbo (147 kW);35 400 km ·;28 900 EUR;25 900 EUR;https://www.auto24.ee/used/3233604
Alfa Romeo;Giulia;tumehall met. ("Grey / COLEST409 - COLORE ESTERNO (AZZURRO)");nelikvedu;automaat (8k, käiguvahetus ka roolilt);02/2017;diisel;2.2 R4 Multijet II (154 kW);87 800 km ·;28 300 EUR;26 800 EUR;https://www.auto24.ee/used/3187366
Alfa Romeo;Stelvio;hall;nelikvedu;automaat;05/2018;diisel;2.1 (154 kW);26 500 km ·;35 900 EUR;29 900 EUR;https://www.auto24.ee/used/3262529
Alfa Romeo;Giulia;hall met. (Silverstone Grey );tagavedu;automaat (8-käiguline);08/2019;diisel;2.2 R4 (132 kW);3000 km ·;48 777 EUR;34 900 EUR;https://www.auto24.ee/used/3213669
Alfa Romeo;Stelvio;must met. (Vulcano Black);nelikvedu;automaat (8-käiguline);02/2020;diisel;2.2 (154 kW);500 km ·;54 542 EUR;40 900 EUR;https://www.auto24.ee/used/3213622
Alfa Romeo;Stelvio;punane met. (Rosso Competizione);nelikvedu;automaat;06/2019;bensiin;2.9 V6 (375 kW);7000 km;109 627 EUR;76 900 EUR;https://www.auto24.ee/used/3196283
Alpina;D3;must (Black Sapphire Metallic);tagavedu;manuaal;07/2006;diisel;2.0 (147 kW);177 500 km ·;9500 EUR;8600 EUR;https://www.auto24.ee/used/2829930
Alpina;B3;must met.;tagavedu;automaat;12/2012;bensiin;2.9 Bi-Turbo (301 kW);227 000 km ·;22 900 EUR;19 990 EUR;https://www.auto24.ee/used/3290149
Alpina;D5;valge met. (Alpinweiss 3);tagavedu;automaat (Switchtronic);08/2012;diisel;3.0 (257 kW);188 900 km ·;22 000 EUR;;https://www.auto24.ee/used/3282355
Alpina;D3;must met. (BLACK SAPPHIRE METALLIC (475));tagavedu;automaat (Sport Automatic);04/2015;diisel;3.0 N57T R6 (257 kW);152 000 km ·;34 490 EUR;33 490 EUR;https://www.auto24.ee/used/3339323
Alpina;B7;valge met.;nelikvedu;automaat;03/2017;bensiin;4.4 (447 kW);15 000 km ·;124 900 EUR;;https://www.auto24.ee/used/3317789
Aston Martin;DB9;sinine;tagavedu;automaat;08/2007;bensiin;6.0 V12 (336 kW);32 781 km;42 000 EUR;;https://www.auto24.ee/used/3296492
Aston Martin;DB9;valge met.;tagavedu;automaat;06/2010;bensiin;5.9 V12 (350 kW);59 500 km ·;74 800 EUR;;https://www.auto24.ee/used/3240607
Audi;A4;punane;esivedu;manuaal;03/1995;bensiin;1.8 (92 kW);280 000 km;110 EUR;Oksjon;https://www.auto24.ee/used/3347566
Audi;A4;heleroheline;esivedu;automaat;02/1997;bensiin;1.8 ATM (92 kW);303 000 km;230 EUR;Oksjon;https://www.auto24.ee/used/3347373
Audi;A4;tumesinine;esivedu;manuaal;03/1996;bensiin;1.6 (74 kW);212 456 km;290 EUR;275 EUR;https://www.auto24.ee/used/3346487
Audi;80;sinine;;;1991;bensiin;2.0 (85 kW);;450 EUR;400 EUR;https://www.auto24.ee/used/3338249
Audi;A6;;esivedu;;12/1998;;2.4 (121 kW);;400 EUR;;https://www.auto24.ee/used/3348883
Audi;80;beež;;;1985;diisel;1.6 (51 kW);;700 EUR;500 EUR;https://www.auto24.ee/used/3348753
Audi;80;tumeroheline;esivedu;automaat;1992;bensiin;2.0 R4 (85 kW);;600 EUR;500 EUR;https://www.auto24.ee/used/952741
Audi;A4;punane;esivedu;manuaal;07/1999;bensiin;1.6 (74 kW);275 000 km;500 EUR;;https://www.auto24.ee/used/3348956
Audi;A4;tumesinine;esivedu;manuaal;10/1995;bensiin;1.6 (74 kW);383 000 km;600 EUR;500 EUR;https://www.auto24.ee/used/3348889
Audi;80;punane met.;esivedu;manuaal;08/1994;bensiin;2.0 (66 kW);;820 EUR;550 EUR;https://www.auto24.ee/used/3242779
Audi;80;roheline;esivedu;manuaal;06/1994;bensiin;2.0 (66 kW);390 000 km;750 EUR;600 EUR;https://www.auto24.ee/used/3282983
Audi;80;roheline;esivedu;manuaal;05/1992;bensiin;2.0 (66 kW);301 000 km;600 EUR;;https://www.auto24.ee/used/1983922
Audi;80;must;esivedu;manuaal;06/1992;bensiin;2.0 (66 kW);245 676 km;700 EUR;600 EUR;https://www.auto24.ee/used/3348981
Audi;A4;tumeroheline;esivedu;manuaal;1995;;1.6 (74 kW);345 000 km;800 EUR;600 EUR;https://www.auto24.ee/used/3335513
Audi;100;hall;esivedu;manuaal;01/1992;diisel;2.5 TDI (85 kW);390 000 km;700 EUR;650 EUR;https://www.auto24.ee/used/3348567
Audi;80;tumeroheline;esivedu;manuaal;04/1994;bensiin;2.0 (66 kW);262 312 km;650 EUR;;https://www.auto24.ee/used/3340958
Audi;80;must;esivedu;manuaal;01/1993;bensiin;2.0 (85 kW);249 000 km;650 EUR;;https://www.auto24.ee/used/3341879
Audi;A4;tumesinine;esivedu;manuaal;02/1995;bensiin;1.8 R4 (92 kW);245 500 km;750 EUR;650 EUR;https://www.auto24.ee/used/3346585
Audi;A4;hall;esivedu;manuaal (5);07/1997;diisel;1.9 Tdi (55 kW);;650 EUR;;https://www.auto24.ee/used/3306377
Audi;A6;;esivedu;automaat;2000;diisel;2.5 (110 kW);380 000 km;650 EUR;;https://www.auto24.ee/used/3338399
Audi;A4;valge;esivedu;manuaal;12/1995;bensiin;1.8 (92 kW);189 000 km;990 EUR;690 EUR;https://www.auto24.ee/used/3198122
Audi;A4;tumehall;esivedu;automaat;06/2006;diisel;2.0 B7 (103 kW);322 000 km;690 EUR;Oksjon;https://www.auto24.ee/used/3338103
Audi;A4;roheline;esivedu;manuaal;09/1997;diisel;1.9 (81 kW);;1700 EUR;699 EUR;https://www.auto24.ee/used/3146895
Audi;A4;punane;esivedu;manuaal;01/1997;bensiin;1.6 R4 (74 kW);287 000 km;1000 EUR;699 EUR;https://www.auto24.ee/used/3326152
Audi;A6;punane met.;esivedu;manuaal;09/1994;bensiin;2.0 (85 kW);311 000 km;699 EUR;;https://www.auto24.ee/used/3347421
Audi;80;tumepunane met.;esivedu;automaat;06/1992;bensiin;2.8 V6 (128 kW);270 000 km;700 EUR;;https://www.auto24.ee/used/3325432
Audi;A6;sinine;esivedu;;12/1996;;2.5 (103 kW);640 000 km;700 EUR;;https://www.auto24.ee/used/3347208
Audi;A4;roheline met.;nelikvedu;manuaal;11/2000;diisel;1.9 (85 kW);;1200 EUR;750 EUR;https://www.auto24.ee/used/3317231
Audi;A6;tumeroheline met.;nelikvedu;automaat;07/2001;diisel;2.5 (132 kW);455 000 km;;790 EUR;https://www.auto24.ee/used/3348060
Audi;A4;hõbedane met.;esivedu;automaat;04/2000;bensiin;2.4 V6 (121 kW);288 800 km;;799 EUR;https://www.auto24.ee/used/3349034
Audi;A4;tumesinine met.;esivedu;manuaal;12/1998;bensiin;1.6 R4 (74 kW);268 231 km;1000 EUR;800 EUR;https://www.auto24.ee/used/3325736
Audi;A6;valge;esivedu;automaat;05/2000;diisel;1.9 (81 kW);357 000 km;1000 EUR;800 EUR;https://www.auto24.ee/used/3338256
Audi;A3;kuldne met.;esivedu;manuaal;03/2000;diisel;1.9 (81 kW);300 000 km;1100 EUR;850 EUR;https://www.auto24.ee/used/3344543
Audi;A6;must;esivedu;automaat;1996;diisel;2.5 r5 tdi (85 kW);442 000 km;1200 EUR;850 EUR;https://www.auto24.ee/used/3326479
Audi;A6;tumesinine;esivedu;manuaal;04/2002;diisel;1.9 TDI (96 kW);402 000 km;1000 EUR;850 EUR;https://www.auto24.ee/used/3315310
Audi;A6;must met.;esivedu;manuaal;07/2000;bensiin;2.8 V6 (142 kW);69 085 km;1200 EUR;850 EUR;https://www.auto24.ee/used/3344362
Audi;A6;must;esivedu;manuaal;08/1999;bensiin;2.4 V6 (121 kW);345 000 km;890 EUR;;https://www.auto24.ee/used/3348617
Audi;A6;tumesinine;esivedu;manuaal;04/2000;diisel;2.5 (110 kW);488 000 km;899 EUR;;https://www.auto24.ee/used/3341805
Audi;A6;hall (LY7L);esivedu;automaat;04/1999;diisel;2.5 TDI V6 (110 kW);357 968 km;900 EUR;;https://www.auto24.ee/used/3288343
Audi;A6;;esivedu;manuaal;03/1999;diisel;2.5 (110 kW);;950 EUR;;https://www.auto24.ee/used/3346342
Audi;A6;valge;esivedu;manuaal;1995;diisel;2.5 (84 kW);390 845 km;970 EUR;;https://www.auto24.ee/used/3343642
Audi;A6;hõbedane met.;esivedu;automaat;12/1999;bensiin;2.4 (121 kW);369 000 km;1500 EUR;999 EUR;https://www.auto24.ee/used/3348081
Audi;90;punane met.;esivedu;manuaal;1991;bensiin;2.3 R5 (98 kW);249 000 km;1500 EUR;1000 EUR;https://www.auto24.ee/used/2033467
Audi;A4;hõbedane;esivedu;manuaal;12/1999;diisel;1.9 TDI (81 kW);378 000 km;1290 EUR;1000 EUR;https://www.auto24.ee/used/3244253
Audi;A4;helehall met.;esivedu;manuaal;10/1999;diisel;2.5 V6 (110 kW);360 441 km;1200 EUR;1000 EUR;https://www.auto24.ee/used/3346152
Audi;A6;valge;esivedu;automaat;10/1995;diisel;2.5 (85 kW);364 900 km;1000 EUR;;https://www.auto24.ee/used/3339770
Audi;A6;tumesinine;nelikvedu;manuaal;02/1997;bensiin;1.8 (92 kW);423 000 km;1200 EUR;1000 EUR;https://www.auto24.ee/used/3330745
Audi;100;roheline met.;esivedu;automaat;04/1993;bensiin;2.8 V6 (128 kW);367 800 km;1600 EUR;1100 EUR;https://www.auto24.ee/used/3262042
Audi;A4;hõbedane met.;esivedu;manuaal;01/1998;diisel;1.9 TDI (81 kW);411 500 km;1100 EUR;;https://www.auto24.ee/used/3348404
Audi;A4;must;nelikvedu;automaat (Tiptronic);08/1997;bensiin;2.8 V6 (142 kW);247 110 km;1500 EUR;1100 EUR;https://www.auto24.ee/used/3191506
Audi;A4;hall met.;esivedu;automaat;01/2002;bensiin;2.4 (125 kW);261 000 km;1199 EUR;;https://www.auto24.ee/used/3343096
Audi;A8;must;nelikvedu;automaat;02/1995;bensiin;2.8 V6 (128 kW);318 000 km;1500 EUR;1199 EUR;https://www.auto24.ee/used/3340383
Audi;A6;must;esivedu;manuaal;08/1999;bensiin;2.4 (121 kW);307 000 km;1200 EUR;;https://www.auto24.ee/used/3309337
Audi;A4;hall;esivedu;manuaal;01/1999;bensiin;1.8 (92 kW);242 000 km;1250 EUR;;https://www.auto24.ee/used/3340719
Audi;A6;tumesinine;esivedu;manuaal;02/2001;diisel;1.9 R4 (85 kW);405 410 km;1250 EUR;;https://www.auto24.ee/used/3340686
Audi;A6;punane;nelikvedu;manuaal (6);10/2001;diisel;2.5 V6 (132 kW);300 002 km;1500 EUR;1250 EUR;https://www.auto24.ee/used/3346750
Audi;100;hõbedane;esivedu;automaat;08/1992;bensiin;2.8 (128 kW);;1500 EUR;1300 EUR;https://www.auto24.ee/used/3293956
Audi;A4;must;nelikvedu;manuaal;08/1997;diisel;1.9 (81 kW);440 000 km;1500 EUR;1300 EUR;https://www.auto24.ee/used/3323215
Audi;A6;hall;nelikvedu;manuaal (6);03/2000;bensiin;2.7 (169 kW);273 400 km;1500 EUR;1300 EUR;https://www.auto24.ee/used/3209769
Audi;A6;hõbedane met.;nelikvedu;manuaal;07/1997;bensiin;2.8 (142 kW);262 218 km;1500 EUR;1300 EUR;https://www.auto24.ee/used/3339858
Audi;A8;helebeež met.;nelikvedu;automaat;10/1999;bensiin;4.2 (228 kW);307 000 km;1300 EUR;;https://www.auto24.ee/used/3347347
Audi;A6;hall met.;esivedu;automaat;05/1999;bensiin;2.4 (121 kW);276 000 km;1500 EUR;1350 EUR;https://www.auto24.ee/used/3346448
Audi;A4;hõbedane met.;esivedu;manuaal;05/1995;bensiin;1.6 (74 kW);203 000 km ·;1390 EUR;;https://www.auto24.ee/used/3346810
Audi;A4;helebeež met.;nelikvedu;manuaal;11/1999;bensiin;1.8 R4 (110 kW);215 000 km;1500 EUR;1390 EUR;https://www.auto24.ee/used/3345316
Audi;A4;beež met.;esivedu;automaat;2001;bensiin;1.8 5 V (92 kW);224 859 km;1900 EUR;1390 EUR;https://www.auto24.ee/used/3347008
Audi;A4;must met.;esivedu;manuaal;10/1999;diisel;1.9 (81 kW);;1700 EUR;1400 EUR;https://www.auto24.ee/used/3345500
Audi;A4;;esivedu;;02/2002;diisel;1.9 (74 kW);;1400 EUR;;https://www.auto24.ee/used/3340700
Audi;A4;must;nelikvedu;automaat;05/2002;diisel;2.5 (132 kW);345 000 km;1500 EUR;1400 EUR;https://www.auto24.ee/used/3346330
Audi;A4;tumepunane met.;esivedu;manuaal;01/2002;diisel;1.9 TDI (74 kW);340 000 km;1700 EUR;1499 EUR;https://www.auto24.ee/used/3342075
Audi;A4;roheline;nelikvedu;manuaal;02/1995;bensiin;2.6 (110 kW);;1999 EUR;1499 EUR;https://www.auto24.ee/used/3348675
Audi;A6;tumesinine met.;esivedu;automaat;1999;bensiin;2.4 V6 (121 kW);400 000 km;2000 EUR;1499 EUR;https://www.auto24.ee/used/3339908
Audi;A6;sinine;esivedu;automaat;06/2003;diisel;2.5 TDI (120 kW);321 000 km;1499 EUR;;https://www.auto24.ee/used/3343918
Audi;80;tumehall met.;esivedu;manuaal;03/1994;bensiin;2.6 V6 (110 kW);271 000 km ·;1800 EUR;1500 EUR;https://www.auto24.ee/used/3272189
Audi;90;valge;nelikvedu;manuaal;1990;bensiin;2.3 R5 (100 kW);;1500 EUR;;https://www.auto24.ee/used/3342828
Audi;A3;must met.;esivedu;manuaal;08/1999;bensiin;1.8 5V (92 kW);278 000 km ·;2200 EUR;1500 EUR;https://www.auto24.ee/used/1956077
Audi;A4;must;esivedu;automaat;07/2004;diisel;2.5 (120 kW);246 000 km;2000 EUR;1500 EUR;https://www.auto24.ee/used/3330393
Audi;A6;hall met.;nelikvedu;manuaal;01/2001;diisel;2.5 (132 kW);;1800 EUR;1500 EUR;https://www.auto24.ee/used/3347931
Audi;A6;roheline;esivedu;manuaal (6 käiku);05/1995;;2.5 (85 kW);402 000 km;1500 EUR;;https://www.auto24.ee/used/3342822
Audi;A6;must met.;nelikvedu;automaat;02/2003;bensiin;2.7 V6 (184 kW);370 000 km;1600 EUR;1500 EUR;https://www.auto24.ee/used/3348870
Audi;A6;hõbedane;esivedu;automaat (CVT);04/2004;diisel;2.5 TDI (120 kW);298 000 km;2200 EUR;1500 EUR;https://www.auto24.ee/used/3304514
Audi;A6;hõbedane met.;;manuaal;02/2006;bensiin;2.0 r4 (125 kW);218 000 km ·;1500 EUR;;https://www.auto24.ee/used/3233048
Audi;A6;hõbedane met.;nelikvedu;automaat;07/2003;diisel;2.5 (132 kW);365 000 km;1550 EUR;;https://www.auto24.ee/used/3343366
Audi;A6;hõbedane;esivedu;manuaal (6 käiku);11/2003;diisel;2.5 TDI (120 kW);360 231 km;1750 EUR;1575 EUR;https://www.auto24.ee/used/3342931
Audi;A4;sinine met.;esivedu;manuaal;08/1998;diisel;1.9 TDI (81 kW);358 000 km;1800 EUR;1590 EUR;https://www.auto24.ee/used/3345621
Audi;A4;hõbedane met.;esivedu;manuaal (6k);08/2004;diisel;2.5 (120 kW);313 000 km;2500 EUR;1590 EUR;https://www.auto24.ee/used/3329793
Audi;A6;tumeroheline met.;esivedu;manuaal;04/1998;diisel;1.9 (81 kW);330 000 km;;1590 EUR;https://www.auto24.ee/used/3268191
Audi;A6;tumesinine met.;esivedu;manuaal;10/2001;diisel;1.9 TDI (96 kW);331 000 km;1599 EUR;;https://www.auto24.ee/used/3342199
Audi;A6;must;esivedu;automaat;11/2004;diisel;2.5 TDI (120 kW);329 000 km;1599 EUR;;https://www.auto24.ee/used/3345172
Audi;A6;sinine met.;nelikvedu;automaat (Tiptronic );08/1999;bensiin;4.2 V8 5V 40 VALVE ATM (220 kW);;2800 EUR;1599 EUR;https://www.auto24.ee/used/3349046
Audi;A3;hõbedane;esivedu;manuaal;03/2000;bensiin;1.6 (74 kW);170 000 km;2100 EUR;1600 EUR;https://www.auto24.ee/used/3345324
Audi;A4;helehall;esivedu;manuaal;08/1999;diisel;1.9 TDI (66 kW);249 300 km;;1600 EUR;https://www.auto24.ee/used/3349277
Audi;A4;must met. (süsimust);esivedu;automaat (cvt 6-käiku);05/2003;diisel;2.5 V6 TDI (120 kW);314 000 km;1800 EUR;1600 EUR;https://www.auto24.ee/used/3324911
Audi;A6;lilla;esivedu;manuaal;12/1996;diisel;2.5 (85 kW);306 000 km;2500 EUR;1600 EUR;https://www.auto24.ee/used/3318300
Audi;A6;tumeroheline;esivedu;manuaal;05/1998;bensiin;2.8 (142 kW);225 000 km ·;1900 EUR;1600 EUR;https://www.auto24.ee/used/3291531
Audi;A4;hall;esivedu;manuaal;10/2002;diisel;1.9 (74 kW);316 000 km;1750 EUR;1650 EUR;https://www.auto24.ee/used/3337646
Audi;A8;pruun met.;nelikvedu;automaat (Tiptronik);11/1997;bensiin;3.7 V8 (169 kW);404 000 km;1800 EUR;1650 EUR;https://www.auto24.ee/used/3338144
Audi;A4;hõbedane met.;esivedu;manuaal;05/2000;bensiin;1.8 (92 kW);265 432 km;1690 EUR;;https://www.auto24.ee/used/3343894
Audi;A6;hall met.;esivedu;automaat;06/2003;diisel;2.5 V6 TDI (120 kW);277 000 km;;1699 EUR;https://www.auto24.ee/used/3344750
Audi;A4;hall;esivedu;automaat;06/2004;diisel;1.9 (96 kW);410 000 km;2250 EUR;1700 EUR;https://www.auto24.ee/used/3310805
Audi;A4;tumesinine;esivedu;manuaal;07/2001;diisel;1.9 TDI (74 kW);335 000 km;1700 EUR;;https://www.auto24.ee/used/3318476
Audi;A4;tumesinine met.;nelikvedu;automaat;03/2004;diisel;2.5 BAU (132 kW);442 100 km;2000 EUR;1700 EUR;https://www.auto24.ee/used/3348654
Audi;A4;tumesinine;nelikvedu;manuaal;11/2001;diisel;2.5 (132 kW);334 000 km;2100 EUR;1700 EUR;https://www.auto24.ee/used/3199434
Audi;A6;hall;nelikvedu;manuaal;01/2002;diisel;2.5 (132 kW);263 461 km;1700 EUR;;https://www.auto24.ee/used/3348502
Audi;Allroad;must;nelikvedu;automaat;02/2001;bensiin;2.7 (184 kW);300 000 km;2700 EUR;1700 EUR;https://www.auto24.ee/used/3337889
Audi;A3;sinine met.;esivedu;manuaal (6);01/2004;bensiin;2.0 tsi (110 kW);250 000 km;;1750 EUR;https://www.auto24.ee/used/3348779
Audi;A6;tumesinine;nelikvedu;manuaal;01/1999;bensiin;2.8 (142 kW);325 000 km;1750 EUR;;https://www.auto24.ee/used/3334007
Audi;A6;must met.;esivedu;manuaal (6);01/2004;diisel;2.5 (120 kW);354 000 km;2600 EUR;1799 EUR;https://www.auto24.ee/used/3299736
Audi;Allroad;roheline met.;nelikvedu;automaat (tiptronic 5k.);08/2002;diisel;2.5 V6 TDI (132 kW);362 000 km;2000 EUR;1799 EUR;https://www.auto24.ee/used/3331877
Audi;A4;tumesinine;nelikvedu;manuaal;07/2004;diisel;2.5 BAU (132 kW);430 000 km ·;2100 EUR;1800 EUR;https://www.auto24.ee/used/2637121
Audi;A6;hõbedane met.;nelikvedu;automaat;01/2002;diisel;2.5 v6 (132 kW);270 000 km;2000 EUR;1800 EUR;https://www.auto24.ee/used/3323674
