Volkswagen,Passat,sinine,esivedu,automaat,Nov-00,bensiin,1.8 Turbo,370 000 km ·,950 EUR,777 EUR,https://www.auto24.ee/used/3261346,,,,,Crafter,1
Volkswagen,Passat,roheline,esivedu,manuaal,Apr-98,diisel,1.9 TDI (66 kW),345 000 km,1090 EUR,790 EUR,https://www.auto24.ee/used/3334703,,,,,T-Cross,3
Volkswagen,Passat,sinine met.,esivedu,manuaal,Nov-98,bensiin,1.8 R4 20V ADR (92 kW),,1000 EUR,799 EUR,https://www.auto24.ee/used/3332004,,,,,T-Roc,8
Volkswagen,Golf,hõbedane,esivedu,manuaal,Mar-98,bensiin,1.4 (55 kW),,900 EUR,800 EUR,https://www.auto24.ee/used/3328573,,,,,Arteon,12
Volkswagen,Passat,must met.,esivedu,manuaal,Feb-94,diisel,1.9 TD (66 kW),365 000 km,900 EUR,800 EUR,https://www.auto24.ee/used/3322564,,,,,,
Volkswagen,Passat,hõbedane,esivedu,manuaal,Dec-02,bensiin,2.0 (85 kW),304 000 km,,800 EUR,https://www.auto24.ee/used/3334432,,,,,,
Volkswagen,Polo,hõbedane met.,esivedu,manuaal,Sep-01,bensiin,1.4 (44 kW),165 000 km,999 EUR,800 EUR,https://www.auto24.ee/used/3334077,,,,,,
Volkswagen,Bora,roheline,esivedu,automaat,Mar-99,bensiin,1.6 (74 kW),245 000 km,1199 EUR,849 EUR,https://www.auto24.ee/used/3328782,,,,,,
Volkswagen,Golf,sinine,esivedu,manuaal,Apr-05,bensiin,1.4 (55 kW),191 270 km ·,850 EUR,Oksjon,https://www.auto24.ee/used/3328201,,,,,,
Volkswagen,Golf,valge,esivedu,manuaal,Jan-99,bensiin,1.8 (55 kW),200 396 km,1000 EUR,850 EUR,https://www.auto24.ee/used/3048927,,,,,,
Volkswagen,Lupo,must,esivedu,manuaal,Aug-99,bensiin,1.0 (37 kW),289 000 km,1000 EUR,899 EUR,https://www.auto24.ee/used/3312307,,,,,,
Volkswagen,Bora,hall met.,esivedu,manuaal,Aug-00,diisel,1.9 (85 kW),,900 EUR,,https://www.auto24.ee/used/3328483,,,,,,
